2096	14034	27.4278	0.989391	517.157	14034
2075	68133	41.7705	0.957891	1702.83	68133
2076	90812	55.4172	0.962369	1702.77	90812
2078	29333	16.8289	0.991629	1757.72	29333
2080	36940	21.4624	0.991882	1735.24	36940
2081	41395	24.0433	0.986901	1744.53	41395
2082	12736	7.56254	0.979124	1720	12736
2083	42013	24.888	0.978947	1724.39	42013
2084	41555	24.9457	0.973285	1711.54	41555
2085	46608	27.9467	0.969367	1720.45	46608
2073	57526	22.4269	0.928689	2762	57526
2074	78781	30.2274	0.936422	2783.23	78781
2087	46001	17.3575	0.94702	2798.48	46001
2088	48790	18.1428	0.957179	2809.53	48790
2089	50396	18.5365	0.964611	2818.49	50396
2090	42526	15.367	0.978448	2828.32	42526
2091	39141	13.8441	0.987066	2864.32	39141
2093	21246	25.9038	0.979974	836.95	21246
2094	27278	33.035	0.982857	840.134	27278
2095	47793	57.6575	0.986599	840.172	47793
2075	68133	41.7705	0.957891	1702.83	68133
2076	90812	55.4172	0.962369	1702.77	90812
2078	29333	16.8289	0.991629	1757.72	29333
2080	36940	21.4624	0.991882	1735.24	36940
2081	41395	24.0433	0.986901	1744.53	41395
2082	12736	7.56254	0.979124	1720	12736
2083	42013	24.888	0.978947	1724.39	42013
2084	41555	24.9457	0.973285	1711.54	41555
2085	46608	27.9467	0.969367	1720.45	46608
2073	57526	22.4269	0.928689	2762	57526
2074	78781	30.2274	0.936422	2783.23	78781
2087	46001	17.3575	0.94702	2798.48	46001
2088	48790	18.1428	0.957179	2809.53	48790
2089	50396	18.5365	0.964611	2818.49	50396
2090	42526	15.367	0.978448	2828.32	42526
2091	39141	13.8441	0.987066	2864.32	39141
2093	21246	25.9038	0.979974	836.95	21246
2094	27278	33.035	0.982857	840.134	27278
2095	47793	57.6575	0.986599	840.172	47793
2096	14034	27.4278	0.989391	517.157	14034
2075	68133	41.7705	0.957891	1702.83	68133
2076	90812	55.4172	0.962369	1702.77	90812
2078	29333	16.8289	0.991629	1757.72	29333
2080	36940	21.4624	0.991882	1735.24	36940
2081	41395	24.0433	0.986901	1744.53	41395
2082	12736	7.56254	0.979124	1720	12736
2083	42013	24.888	0.978947	1724.39	42013
2084	41555	24.9457	0.973285	1711.54	41555
2085	46608	27.9467	0.969367	1720.45	46608
2075	68133	41.7705	0.957891	1702.83	68133
2076	90810	55.4172	0.962369	1702.74	90810
2078	29333	16.8289	0.991629	1757.72	29333
2080	36939	21.4624	0.991882	1735.19	36939
2081	41394	24.0433	0.986901	1744.49	41394
2082	12735	7.56254	0.979124	1719.86	12735
2083	42013	24.888	0.978947	1724.39	42013
2084	41554	24.9457	0.973285	1711.5	41554
2085	46607	27.9467	0.969367	1720.41	46607
2073	57525	22.4269	0.928689	2761.95	57525
2074	78770	30.2274	0.936422	2782.84	78770
2087	46000	17.3575	0.94702	2798.42	46000
2088	48790	18.1428	0.957179	2809.53	48790
2089	50396	18.5365	0.964611	2818.49	50396
2090	42526	15.367	0.978448	2828.32	42526
2091	39141	13.8441	0.987066	2864.32	39141
2096	14034	27.4278	0.989391	517.157	14034
2093	21241	25.9038	0.979974	836.753	21241
2094	27278	33.035	0.982857	840.134	27278
2095	47792	57.6575	0.986599	840.154	47792
2075	74909	41.7705	0.926336	1935.96	74909
2076	99866	55.4172	0.930816	1936.02	99866
2078	32142	16.8289	0.959171	1991.22	32142
2080	40697	21.4624	0.959506	1976.23	40697
